"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL1285729";"F";"Antileishmanial activity against Leishmania donovani";"Leishmania donovani";"60";"60";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1275271";"20728249";"10.1016/j.ejmech.2010.07.060";"2010";"Eur J Med Chem";"45";"4879";"4889";"";"";"";"";"";""
"CHEMBL1816734";"F";"Antileishmanial activity against Leishmania donovani axenic amastigotes after 3 days by tetrazolium dye based spectrophotometric analysis at pH 5.5";"Leishmania donovani";"55";"55";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1811805";"21741248";"10.1016/j.bmc.2011.06.026";"2011";"Bioorg Med Chem";"19";"4552";"4561";"";"";"";"";"";""
"CHEMBL1816735";"F";"Antileishmanial activity against beta-lactamase transfected Leishmania amazonensis promastigotes infected in macrophages after 72 hrs by spectrophotometric analysis";"Leishmania amazonensis";"55";"55";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5659";"";"";"";"";"CHEMBL1811805";"21741248";"10.1016/j.bmc.2011.06.026";"2011";"Bioorg Med Chem";"19";"4552";"4561";"";"";"";"";"";""
"CHEMBL711885";"F";"Effective dose was determined for intracellular amastigotes of Leishmania aethiopica Khartoum at 72 hr in infected macrophages at 34C (experiment 1)";"Leishmania aethiopica";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5667";"";"";"";"";"CHEMBL1148294";"14695832";"10.1021/jm030868a";"2004";"J Med Chem";"47";"188";"195";"";"";"";"";"";""
"CHEMBL1633103";"F";"Antileishmanial activity against Leishmania amazonensis infected in macrophages assessed as nitric oxide release";"Leishmania amazonensis";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5659";"";"";"";"";"CHEMBL1629596";"19015338";"10.1128/aac.00062-08";"2009";"Antimicrob Agents Chemother";"53";"839";"842";"";"";"";"";"";""
"CHEMBL1637700";"F";"Antimicrobial activity against Leishmania donovani K132 amastigote";"Leishmania donovani";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"K132";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1629601";"19015344";"10.1128/aac.01233-08";"2009";"Antimicrob Agents Chemother";"53";"835";"838";"";"";"";"";"";""
"CHEMBL1637855";"F";"Decrease in LdRoS3 gene expression in Leishmania donovani K439 by RT-PCR method";"Leishmania donovani";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"K439";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1629601";"19015344";"10.1128/aac.01233-08";"2009";"Antimicrob Agents Chemother";"53";"835";"838";"";"";"";"";"";""
"CHEMBL1635988";"F";"Decrease in LdRoS3 gene expression in Leishmania donovani K132 by RT-PCR method";"Leishmania donovani";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"K132";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1629601";"19015344";"10.1128/aac.01233-08";"2009";"Antimicrob Agents Chemother";"53";"835";"838";"";"";"";"";"";""
"CHEMBL1116829";"F";"Antiparasitic activity against Leishmania infantum amastigotes";"Leishmania infantum";"19";"19";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5671";"";"";"";"";"CHEMBL1155398";"20167486";"10.1016/j.bmcl.2010.01.099";"2010";"Bioorg Med Chem Lett";"20";"2001";"2006";"";"";"";"";"";""
"CHEMBL707487";"F";"Effective dose was determined for extracellular promastigotes of Leishmania donovani L82 at 72 h";"Leishmania donovani";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1148294";"14695832";"10.1021/jm030868a";"2004";"J Med Chem";"47";"188";"195";"";"";"";"";"";""
"CHEMBL707488";"F";"Effective dose was determined for intracellular amastigotes of Leishmania donovani L82 at 72 hr in infected macrophages at 34C (experiment 1)";"Leishmania donovani";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1148294";"14695832";"10.1021/jm030868a";"2004";"J Med Chem";"47";"188";"195";"";"";"";"";"";""
"CHEMBL1074112";"F";"Ratio of suberoylanilide hydroxamic acid IC50 to compound IC50 for Leishmania donovani promastigotes";"Leishmania donovani";"6";"6";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1157662";"19914074";"10.1016/j.bmc.2009.10.042";"2010";"Bioorg Med Chem";"18";"415";"425";"";"";"";"";"";""
"CHEMBL1166896";"F";"Antileishmanial activity against Leishmania donovani MHOM/IN/Dd8 amastigote carrying firefly luciferase gene infected in mouse J774A1 cells assessed as relative luminescence unit after 72 hrs";"Leishmania donovani";"18";"18";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/IN/Dd8";"Scientific Literature";"5661";"";"";"J774.A1";"";"CHEMBL1165872";"20199824";"10.1016/j.ejmech.2010.02.018";"2010";"Eur J Med Chem";"45";"2381";"2388";"";"";"";"";"";""
"CHEMBL1166897";"F";"Selectivity index, ratio of CC50 for mouse J774A1 cells to IC50 for Leishmania donovani MHOM/IN/Dd8 amastigote";"";"18";"18";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"";"";"";"J774.A1";"";"CHEMBL1165872";"20199824";"10.1016/j.ejmech.2010.02.018";"2010";"Eur J Med Chem";"45";"2381";"2388";"";"";"";"";"";""
"CHEMBL1174787";"F";"Antileishmanial activity against Leishmania mexicana MHOM/MX92/UAY68 after 48 hrs";"Leishmania mexicana";"12";"12";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/MX92/UAY68";"Scientific Literature";"5665";"";"";"";"";"CHEMBL1177885";"20430484";"10.1016/j.ejmech.2010.03.050";"2010";"Eur J Med Chem";"45";"3135";"3141";"";"";"";"";"";""
"CHEMBL1211077";"F";"Antileishmanial activity against promastigotes of Leishmania donovani MHOM/IN/80/Dd8 after 72 hrs by luciferase reporter gene assay relative to control";"Leishmania donovani";"21";"21";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/IN/80/Dd8";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1208669";"20457476";"10.1016/j.ejmech.2010.04.004";"2010";"Eur J Med Chem";"45";"3274";"3280";"";"";"";"";"";""
"CHEMBL1281032";"F";"Antileishmanial activity against GFP-tagged at NH2 terminus Leishmania infantum promastigotes overexpressing LiABCG6 assessed as cell viability after 72 hrs by MTT assay";"Leishmania infantum";"9";"9";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5671";"";"";"";"";"CHEMBL1275503";"18644961";"10.1128/aac.00587-08";"2008";"Antimicrob Agents Chemother";"52";"3573";"3579";"";"";"";"";"";""
"CHEMBL1283083";"F";"Antileishmanial activity against intracellular Leishmania donovani LV82 amastigotes infected in CD-1 mouse peritoneal macrophage";"Leishmania donovani";"6";"6";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"LV82";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1275590";"20368397";"10.1128/aac.00250-10";"2010";"Antimicrob Agents Chemother";"54";"2507";"2516";"";"";"";"";"";""
"CHEMBL1211507";"F";"Antileishmanial activity against Leishmania donovani infected in golden Syrian hamsters assessed as reduction of spleen parasitic burden at 250 mg/kg, ip administered 20 days after infection for 10 days relative to control";"Leishmania donovani";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"CHEMBL3559722";"Spleen";"";"";"CHEMBL1208686";"20546981";"10.1016/j.ejmech.2010.04.033";"2010";"Eur J Med Chem";"45";"3439";"3445";"standard_type:DOSE standard_relation:= standard_value:250.0 standard_units:mg.kg-1 comments:None | standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"";"";"";"";""
"CHEMBL1637678";"F";"Antimicrobial activity against Leishmania donovani K417 amastigote";"Leishmania donovani";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"K417";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1629601";"19015344";"10.1128/aac.01233-08";"2009";"Antimicrob Agents Chemother";"53";"835";"838";"";"";"";"";"";""
"CHEMBL1637850";"F";"Decrease in LdMT gene expression in Leishmania donovani K417 by RT-PCR method";"Leishmania donovani";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"K417";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1629601";"19015344";"10.1128/aac.01233-08";"2009";"Antimicrob Agents Chemother";"53";"835";"838";"";"";"";"";"";""
"CHEMBL1637679";"F";"Antimicrobial activity against Leishmania donovani K417 promastigote";"Leishmania donovani";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"K417";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1629601";"19015344";"10.1128/aac.01233-08";"2009";"Antimicrob Agents Chemother";"53";"835";"838";"";"";"";"";"";""
"CHEMBL1637862";"F";"Decrease in LdMT gene expression in Leishmania donovani K516 by RT-PCR method";"Leishmania donovani";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"K516";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1629601";"19015344";"10.1128/aac.01233-08";"2009";"Antimicrob Agents Chemother";"53";"835";"838";"";"";"";"";"";""
"CHEMBL1211500";"F";"Antileishmanial activity against Leishmania donovani promastigotes after 48 hrs by MTT assay";"Leishmania donovani";"23";"23";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1208686";"20546981";"10.1016/j.ejmech.2010.04.033";"2010";"Eur J Med Chem";"45";"3439";"3445";"";"";"";"";"";""
"CHEMBL915926";"F";"Effect on modulating SSG-resistance of Leishmania donovani Ld39 promastigotes assessed as reversal of resistance at 6 uM after 72 hrs by MTS";"";"2";"2";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1142086";"17194831";"10.1128/aac.00998-06";"2007";"Antimicrob Agents Chemother";"51";"930";"940";"";"";"";"";"";""
"CHEMBL1685320";"F";"Selectivity index, ratio of CC50 for mouse J774A1 cells to IC50 for amastigotes of Leishmania donovani";"";"16";"16";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"";"";"";"J774.A1";"";"CHEMBL1681663";"21295472";"10.1016/j.bmcl.2011.01.026";"2011";"Bioorg Med Chem Lett";"21";"1407";"1410";"";"";"";"";"";""
"CHEMBL1266623";"F";"Antileishmanial activity Leishmania major V121 amastigotes infected in mouse bone marrow-derived macrophage assessed as inhibition of parasite proliferation after 48 hrs by Giemsa staining";"Leishmania major";"26";"27";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"V121";"Scientific Literature";"5664";"CHEMBL3638253";"Bone marrow";"";"";"CHEMBL1255431";"20160053";"10.1128/aac.01634-09";"2010";"Antimicrob Agents Chemother";"54";"1712";"1719";"";"";"";"";"";""
"CHEMBL916352";"F";"Resistance reversal as >50% reduction in pentamidine IC50 in Leishmania enriettii LeMDR1-/- by MTS assay";"";"2";"2";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1142086";"17194831";"10.1128/aac.00998-06";"2007";"Antimicrob Agents Chemother";"51";"930";"940";"";"";"";"";"";""
"CHEMBL915910";"F";"Resistance reversal as >50% reduction in SSG IC50 in drug-resistant Leishmania donovani Ld39 by MTS assay";"";"2";"2";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"";"";"";"";"";"CHEMBL1142086";"17194831";"10.1128/aac.00998-06";"2007";"Antimicrob Agents Chemother";"51";"930";"940";"";"";"";"";"";""
"CHEMBL711056";"F";"Antiparasitic activity against Leishmania donovani for % inhibition at 30 uM concentration T/100 means the compound was toxic to macrophages but more toxic to parasites that is none present, 100% inhibition";"Leishmania donovani";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1132618";"10090783";"10.1021/jm981074c";"1999";"J Med Chem";"42";"999";"1006";"";"";"";"";"";""
"CHEMBL1176410";"F";"Antileishmanial activity against Leishmania chagasi MHOM/BR/74/PP75 promastigotes after 72 hrs by haemocytometry";"Leishmania chagasi";"47";"94";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/BR/74/PP75";"Scientific Literature";"44271";"";"";"";"";"CHEMBL1177650";"20627590";"10.1016/j.bmc.2010.05.018";"2010";"Bioorg Med Chem";"18";"4721";"4739";"";"";"";"";"";""
"CHEMBL1633109";"F";"Antileishmanial activity against Leishmania amazonensis infected in CBA/J mouse assessed as reduction of lesion size at 100 mg/kg/day, sc administered 4 weeks after infection 5 dose in a week for 4 weeks measured after 12 weeks";"Leishmania amazonensis";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5659";"";"";"";"";"CHEMBL1629596";"19015338";"10.1128/aac.00062-08";"2009";"Antimicrob Agents Chemother";"53";"839";"842";"standard_type:ROUTE standard_relation:None standard_value:None standard_units:None comments:None";"";"";"";"";""
"CHEMBL1637846";"F";"Decrease in LdMT gene expression in Leishmania donovani K192 by RT-PCR method";"Leishmania donovani";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"K192";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1629601";"19015344";"10.1128/aac.01233-08";"2009";"Antimicrob Agents Chemother";"53";"835";"838";"";"";"";"";"";""
"CHEMBL709197";"F";"In vitro for leishmanicidal activity against Leishmania amazonensis (PH8) at the concentration of 50 ug/mL.";"Leishmania amazonensis";"11";"11";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5659";"";"";"";"";"CHEMBL1135076";"11844694";"10.1016/s0960-894x(01)00837-x";"2002";"Bioorg Med Chem Lett";"12";"659";"662";"";"";"";"";"";""
"CHEMBL1804277";"F";"Antileishmanial activity against Leishmania donovani promastigotes";"Leishmania donovani";"38";"69";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1800040";"21665468";"10.1016/j.bmcl.2011.05.053";"2011";"Bioorg Med Chem Lett";"21";"4310";"4315";"";"";"";"";"";""
"CHEMBL709198";"F";"In vitro for leishmanicidal activity against Leishmania amazonensis (PH8) at the concentration of 50 ug/mL.";"Leishmania amazonensis";"16";"16";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5659";"";"";"";"";"CHEMBL1135076";"11844694";"10.1016/s0960-894x(01)00837-x";"2002";"Bioorg Med Chem Lett";"12";"659";"662";"";"";"";"";"";""
"CHEMBL712525";"F";"Inhibitory activity against Leishmania donovani amastigotes; NT means not tested";"Leishmania donovani";"8";"8";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1134896";"12161141";"10.1016/s0960-894x(02)00465-1";"2002";"Bioorg Med Chem Lett";"12";"2395";"2398";"";"";"";"";"";""
"CHEMBL962692";"F";"Inhibition of sterol biosynthesis in Leishmania mexicana amazonensis promastigotes assessed as reduction in endogenous cholesta-7,24-dien-3beta-ol level at 3 uM after 96 hrs by gas-liquid chromatography";"Leishmania amazonensis";"10";"10";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5659";"";"";"";"";"CHEMBL1137637";"17709461";"10.1128/aac.00205-07";"2007";"Antimicrob Agents Chemother";"51";"4049";"4061";"";"";"";"";"";""
"CHEMBL1099527";"F";"Antileishmanial activity against Leishmania major Friedlin promastigotes after 48 hrs by alamar blue assay";"Leishmania major";"50";"50";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"Friedlin";"Scientific Literature";"5664";"";"";"";"";"CHEMBL1154833";"20004045";"10.1016/j.ejmech.2009.11.035";"2010";"Eur J Med Chem";"45";"941";"956";"";"";"";"";"";""
"CHEMBL706915";"F";"Inhibition on leishmania mexicana amazonensis.";"Leishmania amazonensis";"34";"34";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5659";"";"";"";"";"CHEMBL1130277";"9435905";"10.1021/jm970488n";"1997";"J Med Chem";"40";"4360";"4371";"";"";"";"";"";""
"CHEMBL1013297";"F";"Antileishmanial activity against Leishmania donovani LCR-L133 promastigotes at 100 mg/ml after 24 hrs relative to control";"Leishmania donovani";"16";"16";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1145677";"None";"10.1021/np9603636";"1997";"J Nat Prod";"60";"13";"16";"";"";"";"";"";""
"CHEMBL1013298";"F";"Antileishmanial activity against Leishmania donovani LCR-L133 promastigotes at 10 mg/ml after 24 hrs relative to control";"Leishmania donovani";"16";"16";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1145677";"None";"10.1021/np9603636";"1997";"J Nat Prod";"60";"13";"16";"";"";"";"";"";""
"CHEMBL1013299";"F";"Antileishmanial activity against Leishmania donovani LCR-L133 promastigotes at 1 mg/ml after 24 hrs relative to control";"Leishmania donovani";"16";"16";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1145677";"None";"10.1021/np9603636";"1997";"J Nat Prod";"60";"13";"16";"";"";"";"";"";""
"CHEMBL1013305";"F";"Antileishmanial activity against Leishmania donovani LCR-L133 amastigotes at 100 ug/ml after 24 hrs relative to control";"Leishmania donovani";"15";"15";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1145677";"None";"10.1021/np9603636";"1997";"J Nat Prod";"60";"13";"16";"";"";"";"";"";""
"CHEMBL1013308";"F";"Antileishmanial activity against Leishmania donovani LCR-L133 amastigotes at 100 ug/ml after 48 hrs relative to control";"Leishmania donovani";"15";"15";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1145677";"None";"10.1021/np9603636";"1997";"J Nat Prod";"60";"13";"16";"";"";"";"";"";""
"CHEMBL1013311";"F";"Antileishmanial activity against Leishmania donovani LCR-L133 amastigotes at 100 ug/ml after 72 hrs relative to control";"Leishmania donovani";"15";"15";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1145677";"None";"10.1021/np9603636";"1997";"J Nat Prod";"60";"13";"16";"";"";"";"";"";""
"CHEMBL1655135";"F";"Activity index, ratio of IC50 for Leishmania donovani BPK190 to IC50 for Leishmania donovani BPK043";"Leishmania donovani";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1649271";"19752271";"10.1128/aac.00866-09";"2009";"Antimicrob Agents Chemother";"53";"5197";"5203";"";"";"";"";"";""
"CHEMBL1030594";"F";"Antileishmanial activity against Leishmania donovani";"Leishmania donovani";"33";"33";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1149084";"19091562";"10.1016/j.bmcl.2008.11.098";"2009";"Bioorg Med Chem Lett";"19";"401";"405";"";"";"";"";"";""
"CHEMBL2028076";"F";"MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.";"Leishmania infantum";"400";"400";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/MA/BE/67";"MMV Malaria Box";"5671";"";"";"";"";"CHEMBL2028040";"None";"10.6019/CHEMBL2028040";"None";"None";"None";"None";"None";"";"";"";"";"";""
"CHEMBL1016640";"F";"Antileishmanial activity against Leishmania donovani donovani HS 70 after 48 hrs";"Leishmania donovani donovani";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"HS 70";"Scientific Literature";"99875";"";"";"";"";"CHEMBL1158948";"1919589";"10.1021/np50074a015";"1991";"J Nat Prod";"54";"445";"452";"";"";"";"";"";""
"CHEMBL1033976";"F";"Selectivity index, ratio of CC50 for mouse J774A1 cells to IC50 for Leishmania donovani intracellular amastigotes infected in mouse J774A1 cells";"";"16";"16";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"";"";"";"J774.A1";"";"CHEMBL1136836";"19091566";"10.1016/j.bmcl.2008.11.094";"2009";"Bioorg Med Chem Lett";"19";"324";"327";"";"";"";"";"";""
"CHEMBL1033978";"F";"Antileishmanial activity against Leishmania donovani intracellular amastigotes infected in mouse J774A1 cells after 48 hrs by luciferase activity-based drug susceptibility assay";"Leishmania donovani";"16";"32";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"J774.A1";"";"CHEMBL1136836";"19091566";"10.1016/j.bmcl.2008.11.094";"2009";"Bioorg Med Chem Lett";"19";"324";"327";"";"";"";"";"";""
"CHEMBL1050693";"F";"Antileishmanial activity against Leishmania major promastigotes after 72 hrs";"Leishmania major";"21";"21";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5664";"";"";"";"";"CHEMBL1155361";"19664864";"10.1016/j.ejmech.2009.06.038";"2009";"Eur J Med Chem";"44";"4654";"4660";"";"";"";"";"";""
